model,dataset,optim_level,accuracy,precision,recall,f1,mcc,fpr
llm4decompile-1.3b-v2,source_code_mix_pseudo_code,Os,0.9692982456140351,0.9489795918367347,0.9789473684210527,0.9637305699481865,0.937466153982744,0.7142857132653061
llm4decompile-1.3b-v2,source_code_mix_pseudo_code,all,0.8878205128205128,0.8818897637795275,0.8484848484848485,0.8648648648648649,0.7694544861351025,0.4285714285408163
llm4decompile-1.3b-v2,source_code_pseudo_code,O0,0.7249357326478149,0.7380952380952381,0.5568862275449101,0.6348122866894198,0.4318019066810638,0.30841121492444756
llm4decompile-1.3b-v2,source_code_pseudo_code,O1,0.8368200836820083,0.8617021276595744,0.7570093457943925,0.8059701492537313,0.6703519267948729,0.33333333324786324
llm4decompile-1.3b-v2,source_code_pseudo_code,O2,0.8563218390804598,0.8524590163934426,0.7647058823529411,0.8062015503875969,0.6951596434507263,0.359999999856
llm4decompile-1.3b-v2,source_code_pseudo_code,O3,0.8119266055045872,0.7906976744186046,0.7472527472527473,0.768361581920904,0.6109633941500419,0.4390243901368233
llm4decompile-1.3b-v2,source_code_pseudo_code,Os,0.8859649122807017,0.8709677419354839,0.8526315789473684,0.8617021276595744,0.7648311695204005,0.46153846136094673
llm4decompile-1.3b-v2,source_code_pseudo_code,all,0.8092948717948718,0.8152173913043478,0.7102272727272727,0.7591093117408907,0.6064414060863073,0.35714285712785115
llm4decompile-6.7b-v2,source_code_mix_pseudo_code,O0,0.7917737789203085,0.8028169014084507,0.6826347305389222,0.7378640776699029,0.5721553424872726,0.34567901230300263
llm4decompile-6.7b-v2,source_code_mix_pseudo_code,O1,0.9037656903765691,0.9375,0.8411214953271028,0.8866995073891626,0.807061328678277,0.26086956510396975
llm4decompile-6.7b-v2,source_code_mix_pseudo_code,O2,0.9540229885057471,0.9285714285714286,0.9558823529411765,0.9420289855072463,0.9042077422560242,0.6249999992187499
llm4decompile-6.7b-v2,source_code_mix_pseudo_code,O3,0.9128440366972477,0.95,0.8351648351648352,0.8888888888888888,0.8222712643896497,0.21052631567867036
llm4decompile-6.7b-v2,source_code_mix_pseudo_code,Os,0.9342105263157895,0.9347826086956522,0.9052631578947369,0.9197860962566845,0.8643679171722858,0.39999999973333333
llm4decompile-6.7b-v2,source_code_mix_pseudo_code,all,0.8830128205128205,0.8979166666666667,0.8162878787878788,0.8551587301587301,0.7598335161911727,0.33561643833317695
llm4decompile-9b-v2,source_code_mix_pseudo_code,O0,0.8431876606683805,0.8732394366197183,0.7425149700598802,0.8025889967637541,0.6800306954475038,0.29508196716474067
llm4decompile-9b-v2,source_code_mix_pseudo_code,O1,0.9623430962343096,0.99,0.9252336448598131,0.9565217391304348,0.9250224137703909,0.1111111109876543
llm4decompile-9b-v2,source_code_mix_pseudo_code,O2,0.9885057471264368,0.9714285714285714,1.0,0.9855072463768116,0.976268267669405,0.999999995
llm4decompile-9b-v2,source_code_mix_pseudo_code,O3,0.9724770642201835,0.967032967032967,0.967032967032967,0.967032967032967,0.9434109197888726,0.49999999916666665
llm4decompile-9b-v2,source_code_mix_pseudo_code,Os,0.9780701754385965,0.96875,0.9789473684210527,0.9738219895287958,0.9549937104572925,0.5999999988
llm4decompile-9b-v2,source_code_mix_pseudo_code,all,0.9334935897435898,0.9458917835671342,0.8939393939393939,0.9191820837390458,0.8637511991118564,0.32530120478008423
llmcompiler-7b,source_code_mix_pseudo_code,O0,0.8174807197943444,0.8287671232876712,0.7245508982035929,0.7731629392971247,0.6255510876738993,0.35211267600674473
llmcompiler-7b,source_code_mix_pseudo_code,O1,0.9497907949790795,0.9896907216494846,0.897196261682243,0.9411764705882353,0.9008523154772433,0.08333333326388888
llmcompiler-7b,source_code_mix_pseudo_code,O2,0.9712643678160919,0.9436619718309859,0.9852941176470589,0.9640287769784173,0.9407311567722948,0.7999999984
llmcompiler-7b,source_code_mix_pseudo_code,O3,0.944954128440367,0.9540229885057471,0.9120879120879121,0.9325842696629213,0.8867515244174466,0.3333333330555555
llmcompiler-7b,source_code_mix_pseudo_code,Os,0.9649122807017544,0.967741935483871,0.9473684210526315,0.9574468085106383,0.9277537855129119,0.37499999953124996
llmcompiler-7b,source_code_mix_pseudo_code,all,0.9134615384615384,0.9251012145748988,0.865530303030303,0.8943248532289628,0.8224962173154432,0.3425925925608711
llmcompiler-7b-ftd,source_code_mix_pseudo_code,O0,0.8200514138817481,0.7904191616766467,0.7904191616766467,0.7904191616766467,0.632761504018989,0.49999999992857147
llmcompiler-7b-ftd,source_code_mix_pseudo_code,O1,0.9456066945606695,0.9433962264150944,0.9345794392523364,0.9389671361502347,0.8899443929699027,0.46153846118343195
llmcompiler-7b-ftd,source_code_mix_pseudo_code,O2,0.9655172413793104,0.9428571428571428,0.9705882352941176,0.9565217391304348,0.9282279173938178,0.6666666655555555
llmcompiler-7b-ftd,source_code_mix_pseudo_code,O3,0.9541284403669725,0.9354838709677419,0.9560439560439561,0.9456521739130435,0.9061379678908463,0.5999999993999999
llmcompiler-7b-ftd,source_code_mix_pseudo_code,Os,0.9736842105263158,0.968421052631579,0.968421052631579,0.968421052631579,0.9458646616541353,0.49999999916666665
llmcompiler-7b-ftd,source_code_mix_pseudo_code,all,0.9158653846153846,0.8983050847457628,0.9034090909090909,0.9008498583569405,0.8277920044353927,0.5142857142367347
magicoder-s-ds-6.7b,source_code_mix_pseudo_code,O0,0.7480719794344473,0.7225806451612903,0.6706586826347305,0.6956521739130435,0.48222247345808444,0.43877551015930866
magicoder-s-ds-6.7b,source_code_mix_pseudo_code,O1,0.8828451882845189,0.9072164948453608,0.822429906542056,0.8627450980392157,0.7637707693417487,0.3214285713137755
magicoder-s-ds-6.7b,source_code_mix_pseudo_code,O2,0.9137931034482759,0.8840579710144928,0.8970588235294118,0.8905109489051095,0.819486529528907,0.5333333329777777
magicoder-s-ds-6.7b,source_code_mix_pseudo_code,O3,0.9036697247706422,0.9166666666666666,0.8461538461538461,0.88,0.8015426168393752,0.3333333331746032
magicoder-s-ds-6.7b,source_code_mix_pseudo_code,Os,0.9078947368421053,0.8854166666666666,0.8947368421052632,0.8900523560209425,0.8108437164260031,0.5238095235600907
magicoder-s-ds-6.7b,source_code_mix_pseudo_code,all,0.8533653846153846,0.844311377245509,0.8011363636363636,0.8221574344023324,0.698254630220514,0.4262295081734301
opencoder-1.5b,source_code_mix_pseudo_code,O0,0.7455012853470437,0.7463768115942029,0.6167664670658682,0.6754098360655738,0.47497849270849096,0.35353535349964293
opencoder-1.5b,source_code_mix_pseudo_code,O1,0.8661087866108786,0.9032258064516129,0.7850467289719626,0.84,0.7311361798924098,0.28124999991210936
opencoder-1.5b,source_code_mix_pseudo_code,O2,0.8850574712643678,0.875,0.8235294117647058,0.8484848484848485,0.7569307784800088,0.3999999998
opencoder-1.5b,source_code_mix_pseudo_code,O3,0.8669724770642202,0.8690476190476191,0.8021978021978022,0.8342857142857143,0.7250883221681943,0.37931034469678954
opencoder-1.5b,source_code_mix_pseudo_code,Os,0.9298245614035088,0.9072164948453608,0.9263157894736842,0.9166666666666666,0.8562105427383344,0.5624999996484374
opencoder-1.5b,source_code_mix_pseudo_code,all,0.842948717948718,0.8487394957983193,0.7651515151515151,0.8047808764940239,0.6765371781846435,0.367346938756768
opencoder-8b,source_code_mix_pseudo_code,O0,0.8046272493573264,0.8181818181818182,0.7005988023952096,0.7548387096774194,0.5989993887020788,0.3421052631128809
opencoder-8b,source_code_mix_pseudo_code,O1,0.9205020920502092,0.9489795918367347,0.8691588785046729,0.9073170731707317,0.8404340499941262,0.26315789459833794
opencoder-8b,source_code_mix_pseudo_code,O2,0.9425287356321839,0.9264705882352942,0.9264705882352942,0.9264705882352942,0.8793007769145395,0.49999999949999996
