model,dataset,optim_level,accuracy,precision,recall,f1,mcc,fpr
deepseek-reasoner,assembly_code,O1,0.5313807531380753,0.4861878453038674,0.822429906542056,0.6111111111111112,0.13673575695263313,0.8303571427830039
deepseek-reasoner,assembly_code,O2,0.43103448275862066,0.3900709219858156,0.8088235294117647,0.5263157894736842,-0.003108125810676885,0.8686868685991226
deepseek-reasoner,assembly_code,O3,0.5412844036697247,0.4742857142857143,0.9120879120879121,0.6240601503759399,0.23258609289616458,0.9199999999080001
deepseek-reasoner,assembly_code,Os,0.5350877192982456,0.4662576687116564,0.8,0.5891472868217055,0.15928953026771425,0.8207547169037024
deepseek-reasoner,assembly_code,all,0.5136217948717948,0.4588969823100936,0.8352272727272727,0.5923438549361988,0.13267173878612834,0.8566721581407467
deepseek-reasoner,pseudo_code,O0,0.5218508997429306,0.46905537459283386,0.8622754491017964,0.6075949367088608,0.15538475057387327,0.8763440859743901
deepseek-reasoner,pseudo_code,O1,0.5355648535564853,0.489247311827957,0.8504672897196262,0.621160409556314,0.15652857591601751,0.8558558557787518
deepseek-reasoner,pseudo_code,O2,0.4885057471264368,0.42105263157894735,0.8235294117647058,0.5572139303482587,0.11165364416276143,0.8651685392286328
deepseek-reasoner,pseudo_code,O3,0.5321100917431193,0.4678362573099415,0.8791208791208791,0.6106870229007634,0.19496526272078135,0.8921568626576317
deepseek-reasoner,pseudo_code,Os,0.5350877192982456,0.4658385093167702,0.7894736842105263,0.5859375,0.1546105922402671,0.8113207546404415
deepseek-reasoner,pseudo_code,all,0.5240384615384616,0.46555323590814196,0.8446969696969697,0.6002691790040376,0.1562650812524449,0.861952861938351
dsc-1.3b,assembly_code,O0,0.6041131105398457,0.5585585585585585,0.3712574850299401,0.4460431654676259,0.16500359724116986,0.318181818161157
dsc-1.3b,assembly_code,O1,0.6359832635983264,0.6190476190476191,0.48598130841121495,0.5445026178010471,0.2536729129683021,0.3678160919117453
dsc-1.3b,assembly_code,O2,0.7011494252873564,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.3723640399556049,0.49999999990384614
dsc-1.3b,assembly_code,O3,0.6880733944954128,0.6419753086419753,0.5714285714285714,0.6046511627906976,0.35012074346269917,0.4264705881725779
dsc-1.3b,assembly_code,Os,0.6842105263157895,0.6575342465753424,0.5052631578947369,0.5714285714285714,0.3352904270559313,0.34722222217399695
dsc-1.3b,assembly_code,all,0.6530448717948718,0.6139088729016786,0.48484848484848486,0.5417989417989418,0.27362134866489296,0.37182448036092786
dsc-1.3b,pseudo_code,O0,0.7223650385604113,0.7092198581560284,0.5988023952095808,0.6493506493506493,0.4264058265285867,0.37962962959447877
dsc-1.3b,pseudo_code,O1,0.8744769874476988,0.8888888888888888,0.822429906542056,0.8543689320388349,0.7461023845520055,0.3666666665444444
dsc-1.3b,pseudo_code,O2,0.8850574712643678,0.8243243243243243,0.8970588235294118,0.8591549295774648,0.7643047933907702,0.649999999675
dsc-1.3b,pseudo_code,O3,0.7981651376146789,0.7831325301204819,0.7142857142857143,0.7471264367816092,0.5814771425159369,0.4090909089979339
dsc-1.3b,pseudo_code,Os,0.8728070175438597,0.8586956521739131,0.8315789473684211,0.8449197860962567,0.7374327684966354,0.4482758619143876
dsc-1.3b,pseudo_code,all,0.8149038461538461,0.803680981595092,0.7443181818181818,0.7728613569321534,0.6183556487778642,0.4155844155664249
dsc-7b,assembly_code,O0,0.6066838046272494,0.5538461538461539,0.4311377245508982,0.48484848484848486,0.17825691055252452,0.37908496729548463
dsc-7b,assembly_code,O1,0.5690376569037657,0.525,0.3925233644859813,0.44919786096256686,0.11026864145423614,0.36893203879913283
dsc-7b,assembly_code,O2,0.632183908045977,0.532258064516129,0.4852941176470588,0.5076923076923077,0.21569609793973551,0.45312499992919925
dsc-7b,assembly_code,O3,0.6146788990825688,0.5432098765432098,0.4835164835164835,0.5116279069767442,0.19612059804051826,0.44047619042375286
dsc-7b,assembly_code,Os,0.6096491228070176,0.5416666666666666,0.4105263157894737,0.46706586826347307,0.17225077552896437,0.3707865168122712
dsc-7b,assembly_code,all,0.6049679487179487,0.5411764705882353,0.4356060606060606,0.4826862539349423,0.17178061645937195,0.3955375253469465
dsc-7b,pseudo_code,O0,0.712082262210797,0.6950354609929078,0.5868263473053892,0.6363636363636364,0.4047980799618415,0.3839285713942921
